player_name,team_title,minutes_played,shots,shots_on_target,goals,key_passes,xgoals,xassists
Kalani Kossa-Rienzi,Seattle Sounders FC,1634,12,5,3,8,1.1918,1.8869
Kévin Cabral,Colorado Rapids,861,13,3,0,3,1.951,0.1121
Danny Leyva,Seattle Sounders FC,840,12,1,0,16,0.4212,1.0903
Wyatt Omsberg,New England Revolution,470,2,1,0,0,0.2667,0.0
Nkosi Tafari,Los Angeles FC,2247,9,1,0,1,0.7395,0.1516
Onni Valakari,San Diego FC,3268,38,13,5,32,6.5002,4.52
Ashley Westwood,Charlotte FC,3542,20,5,1,41,1.6298,4.5743
Danny Musovski,Seattle Sounders FC,1913,59,30,16,10,16.8787,1.1718
Philip Quinton,Real Salt Lake,941,4,0,0,2,0.2632,0.1463
Maxi Urruti,New England Revolution,720,18,8,2,5,2.6467,0.1846
Wil Trapp,Minnesota United FC,3350,10,4,2,15,0.7802,1.5794
Kye Rowles,D.C. United,3013,7,2,0,2,1.7263,0.4644
Maarten Paes,FC Dallas,2251,0,0,0,1,0.0,0.0214
Vitor Costa,San Jose Earthquakes,1790,22,3,1,25,2.9299,2.1963
Enea Mihaj,Atlanta United FC,714,3,2,0,2,0.0847,0.2397
Indiana Vassilev,Philadelphia Union,2371,37,14,6,22,3.6073,1.9464
Kristijan Kahlina,Charlotte FC,3552,0,0,0,0,0.0,0.0
Michael Collodi,FC Dallas,1039,0,0,0,0,0.0,0.0
Shaq Moore,FC Dallas,3403,26,8,3,19,2.4655,2.3572
Raheem Edwards,New York Red Bulls,1621,11,4,0,16,0.6823,1.013
Jacob Murrell,D.C. United,1020,16,6,2,6,2.8553,0.239
Ariath Piol,Real Salt Lake,1036,13,2,1,7,1.8573,0.3751
Dawid Bugaj,CF Montréal,1891,8,0,0,11,0.348,1.3603
Jackson Hopkins,D.C. United,920,8,4,3,7,0.76,0.5431
Caden Clark,D.C. United,1877,22,7,0,18,1.815,2.5518
Matt Miazga,FC Cincinnati,1720,4,1,0,2,0.3152,0.1222
Earl Edwards Jr.,San Jose Earthquakes,638,0,0,0,0,0.0,0.0
Duane Holmes,Houston Dynamo FC,726,9,2,1,8,0.6569,0.5082
Samuel Gidi,FC Cincinnati,733,5,2,0,4,0.3647,0.3235
Brad Guzan,Atlanta United FC,2626,0,0,0,1,0.0,0.0202
Kei Kamara,FC Cincinnati,900,14,3,0,8,2.0672,1.4908
Georgi Minoungou,Seattle Sounders FC,888,30,10,1,22,2.7512,3.6382
Jackson Travis,Colorado Rapids,748,2,1,0,2,0.1148,0.074
Max Arfsten,Columbus Crew,3136,50,18,5,50,6.1584,7.6521
Mykhi Joyner,St. Louis City SC,476,13,6,1,6,2.1344,0.3685
Hosei Kijima,D.C. United,1778,13,4,2,15,1.4864,1.097
Wiktor Bogacz,New York Red Bulls,414,6,3,1,6,0.6275,0.8081
Marlon,Los Angeles FC,718,1,0,0,1,0.2147,0.037
Bjørn Inge Utvik,Vancouver Whitecaps FC,1157,5,0,0,2,0.6212,0.07
Ilie Sánchez,Austin FC,1966,13,3,1,7,0.7183,0.4324
Alfredo Morales,St. Louis City SC,1275,6,0,0,8,0.2515,2.1498
Olger Escobar,CF Montréal,526,8,3,1,6,0.8533,0.6476
Ian Fray,Inter Miami CF,1806,12,5,1,11,1.0683,1.9575
Brandan Craig,CF Montréal,1636,12,3,0,8,0.6282,0.2754
Zane Monlouis,Toronto FC,566,0,0,0,0,0.0,0.0
Logan Ndenbe,Sporting Kansas City,2234,19,5,1,15,1.7365,1.1855
Keegan Hughes,New England Revolution,440,1,0,0,0,0.105,0.0
Kamal Miller,Portland Timbers FC,2481,10,5,2,3,0.8528,0.2142
Kyle Duncan,New York Red Bulls,1695,13,2,0,18,0.585,1.8969
Keaton Parks,New York City FC,993,10,6,1,13,1.6028,1.1566
Ryan Porteous,Los Angeles FC,1274,5,0,0,3,0.2767,0.4133
