player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Harry Kane","Bayern Munich","F M S","2385","31","36","5","119","40","29.57998568098992","7.403329385444522","26","21.244441921822727"
"Deniz Undav","VfB Stuttgart","F M S","2261","29","19","6","124","38","19.05754723213613","5.584789767861366","19","18.299770614132285"
"Serhou Guirassy","Borussia Dortmund","F S","2366","33","17","1","84","20","19.91118175908923","1.9295950140804052","16","17.63785172626376"
"Patrik Schick","Bayer Leverkusen","F M S","2005","28","16","3","72","14","19.421328123658895","3.1920390371233225","12","15.632444690912962"
"Michael Olise","Bayern Munich","M S","2308","32","15","19","102","79","11.545709690079093","17.044203309342265","15","11.545709690079093"
"Luis Díaz","Bayern Munich","M S","2464","32","15","14","88","65","14.85997650027275","10.122723823413253","15","14.85997650027275"
"Andrej Kramaric","Hoffenheim","F M S","2256","34","14","6","65","35","13.078245226293802","4.530489624477923","9","9.289361868053675"
"Jonathan Burkardt","Eintracht Frankfurt","F S","1351","22","13","1","41","9","13.116983085870743","0.6681167893111706","9","10.085876282304525"
"Christoph Baumgartner","RasenBallsport Leipzig","M S","2811","33","13","8","81","37","18.02284111827612","4.292830726131797","13","17.26506443321705"
"Haris Tabakovic","Borussia M.Gladbach","F S","2424","32","13","2","67","16","14.339333239942789","1.8832440096884966","13","12.823779825121164"
"Said El Mala","FC Cologne","F M S","1965","34","13","4","74","20","12.582745539024472","4.186228644102812","12","11.824968876317143"
"Nadiem Amiri","Mainz 05","F M S","2112","26","12","2","54","64","10.704714082181454","6.560079865157604","4","4.642500706017017"
"Ermedin Demirovic","VfB Stuttgart","F S","1507","25","12","3","41","17","8.664393775165081","2.179655436426401","11","7.906617097556591"
"Yan Diomande","RasenBallsport Leipzig","F M S","2507","33","12","8","53","57","8.03020796738565","10.04887573234737","12","8.03020796738565"
"Igor Matanovic","Freiburg","F S","1536","31","11","2","51","22","9.582080019637942","2.2362477499991655","10","8.066526612266898"
"Fisnik Asllani","Hoffenheim","F M S","2429","33","10","7","73","34","9.504826286807656","5.401737725362182","10","9.504826286807656"
"Jens Stage","Werder Bremen","M","2489","29","10","2","57","26","6.0983161851763725","3.4768182542175055","10","6.0983161851763725"
"Maximilian Beier","Borussia Dortmund","D F M S","2069","32","9","6","50","25","8.248568028211594","4.9559360314160585","9","8.248568028211594"
"Rômulo","RasenBallsport Leipzig","F M S","2246","30","9","4","63","25","15.936640277504921","3.606802409514785","9","15.178863540291786"
"Serge Gnabry","Bayern Munich","F M S","1280","21","8","6","50","22","6.26451538130641","5.150685242377222","8","6.26451538130641"
"Tim Lemperle","Hoffenheim","F M S","2008","29","8","2","53","26","9.412074415013194","2.5754604805260897","7","8.654297707602382"
"Nicolas Jackson","Bayern Munich","F M S","991","23","8","1","38","17","8.492001624777913","2.0896335784345865","8","8.492001624777913"
"Dzenan Pejcinovic","Wolfsburg","F S","1445","30","8","0","51","12","8.291429496370256","1.645487703382969","8","8.291429496370256"
"Álex Grimaldo","Bayer Leverkusen","D","2539","29","8","7","61","69","6.761390760540962","10.24105754122138","5","4.488060817122459"
"Can Uzun","Eintracht Frankfurt","M S","1178","21","8","4","41","19","4.544798476621509","2.6320750545710325","7","3.7870217841118574"
"Mohammed Amoura","Wolfsburg","F M S","1949","30","8","3","60","24","9.956500393338501","3.972602378576994","7","9.198723715730011"
"Julian Brandt","Borussia Dortmund","F M S","1601","29","7","4","38","30","5.1042488645762205","5.293923227116466","7","5.1042488645762205"
"Grischa Prömel","Hoffenheim","M S","1696","33","7","2","42","17","5.130105700343847","2.619504975154996","7","5.130105700343847"
