player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Erling Haaland","Manchester City","F S","2979","35","27","8","125","25","28.795336209237576","5.507687093690038","24","25.7506607696414"
"Thiago","Brentford","F S","3292","38","22","1","84","24","24.68977300822735","3.4500465877354145","14","17.83925338834524"
"Antoine Semenyo","Bournemouth,Manchester City","F M","3220","37","17","4","83","38","12.836786897853017","4.130169393494725","16","11.31444920040667"
"Ollie Watkins","Aston Villa","F S","2908","37","16","3","83","23","18.827725588344038","2.816021606326103","16","18.827725588344038"
"Morgan Gibbs-White","Nottingham Forest","F M S","3142","37","15","4","83","48","11.671697720885277","4.5044658575206995","14","10.910528883337975"
"João Pedro","Chelsea","F M S","2698","35","15","5","73","29","15.723741941154003","3.983569510281086","15","15.723741941154003"
"Dominic Calvert-Lewin","Leeds","F S","2732","35","14","1","73","20","18.671318570151925","1.5441157519817352","10","14.865511130541563"
"Viktor Gyokeres","Arsenal","F S","2255","36","14","1","55","20","13.871430788189173","2.6537387324497104","11","11.587924215942621"
"Danny Welbeck","Brighton","F S","2286","37","13","1","56","20","12.718900069594383","2.2625304386019707","12","10.435393424704671"
"Eli Junior Kroupi","Bournemouth","F M S","1708","33","13","0","52","22","8.849121669307351","1.81576990429312","11","7.326783983036876"
"Jean-Philippe Mateta","Crystal Palace","F S","2225","32","12","0","63","9","15.977427493780851","1.2496193014085293","8","12.93275199458003"
"Richarlison","Tottenham","F M S","1926","32","11","4","61","19","9.866276641376317","3.4081881837919354","11","9.866276641376317"
"Bryan Mbeumo","Manchester United","F M S","2676","33","11","3","73","45","13.309208107180893","5.091009698808193","11","13.309208107180893"
"Hugo Ekitike","Liverpool","F S","1835","28","11","4","65","21","11.932188130915165","2.49130567535758","11","11.932188130915165"
"Benjamin Sesko","Manchester United","F S","1636","30","11","1","61","9","12.504127995111048","0.5977376587688923","11","12.504127995111048"
"Zian Flemming","Burnley","F S","1795","29","11","0","52","10","9.554794699884951","0.6848367601633072","9","8.032457021065056"
"Harry Wilson","Fulham","M S","2751","36","10","7","78","37","5.759745923802257","5.503671173006296","10","5.759745923802257"
"Matheus Cunha","Manchester United","F M S","2506","33","10","2","90","33","7.076101643964648","3.698060866445303","10","7.076101643964648"
"Cole Palmer","Chelsea","F M S","2007","26","10","1","64","24","10.257518742233515","2.1231346298009157","5","5.69050582125783"
"Enzo Fernández","Chelsea","M S","3149","36","10","4","72","68","11.91719657368958","8.865934781730175","8","10.394858876243234"
"Morgan Rogers","Aston Villa","F M","3301","37","10","6","84","48","7.1458222679793835","7.475014166906476","10","7.1458222679793835"
"Bruno Fernandes","Manchester United","M","3082","35","9","21","85","137","11.931805820204318","17.75713463127613","5","7.364792761392891"
"Jarrod Bowen","West Ham","F M","3416","38","9","11","79","44","8.273593910038471","8.43197707645595","8","7.512425065040588"
"Casemiro","Manchester United","M S","2649","34","9","2","52","36","6.577375870198011","3.177681438624859","9","6.577375870198011"
"Raúl Jiménez","Fulham","F S","2215","36","9","3","73","25","12.016586696729064","1.944130852818489","5","8.971911305561662"
"Ismaila Sarr","Crystal Palace","F M S","2181","28","9","1","48","19","11.543307237327099","2.200463268905878","6","9.259800650179386"
"Bruno Guimarães","Newcastle United","M S","2467","29","9","5","42","44","6.597308051772416","3.8693104553967714","7","5.074970376677811"
"Beto","Everton","F S","1552","37","9","1","43","12","10.947674445807934","1.0041863042861223","9","10.947674445807934"
"Nick Woltemade","Newcastle United","F M S","1953","33","8","3","32","22","8.262036986649036","2.9012854490429163","7","7.500868149101734"
"Kevin Schade","Brentford","F M S","2781","35","8","3","57","29","11.832689953967929","4.565257132053375","8","11.071521116420627"
"Kiernan Dewsbury-Hall","Everton","M S","2649","31","8","4","39","36","4.330071024596691","6.574528481811285","8","4.330071024596691"
"Jaidon Anthony","Burnley","F M S","2777","37","8","2","55","37","5.564454321749508","4.374400090426207","8","5.564454321749508"
"Noah Okafor","Leeds","F M S","1592","28","8","1","35","19","6.296696716919541","2.259315438568592","8","6.296696716919541"
"Thierno Barry","Everton","F S","1921","38","8","0","38","12","9.149327086284757","1.003938363865018","8","9.149327086284757"
"Callum Wilson","West Ham","F M S","1229","32","7","1","38","8","7.60266119800508","1.0267592892050743","7","7.60266119800508"
"Mohamed Salah","Liverpool","F M S","2163","27","7","7","67","49","8.837686643004417","6.428150682710111","6","8.076517805457115"
"Phil Foden","Manchester City","F M S","2083","33","7","5","55","53","6.688582047820091","6.107132508419454","7","6.688582047820091"
"Harvey Barnes","Newcastle United","F M S","1947","37","7","1","58","23","8.050524456426501","3.1062511932104826","7","8.050524456426501"
"Bukayo Saka","Arsenal","F M S","2239","31","7","5","71","62","8.701195661909878","8.552797641605139","6","7.940026824362576"
"Eberechi Eze","Arsenal,Crystal Palace","F M S","1928","33","7","2","63","17","4.807457456365228","2.63351690210402","7","4.807457456365228"
"William Osula","Newcastle United","F S","777","24","7","0","23","6","4.915395822376013","0.44665464758872986","7","4.915395822376013"
"Dango Ouattara","Brentford","F M S","2303","32","7","3","56","27","8.694322310388088","5.863189795985818","7","8.694322310388088"
"Brian Brobbey","Sunderland","F S","1943","31","7","1","36","15","7.1118853986263275","1.5084331054240465","7","7.1118853986263275"
"Marcus Tavernier","Bournemouth","M S","2779","34","7","4","70","52","9.397737859748304","6.158757623285055","5","7.875400157645345"
"Cody Gakpo","Liverpool","F M S","2758","36","7","5","87","53","9.826099138706923","6.592332137748599","7","9.826099138706923"
"Virgil van Dijk","Liverpool","D","3420","38","6","0","30","11","4.891236560419202","0.3285368140786886","6","4.891236560419202"
"Emiliano Buendía","Aston Villa","M S","1778","36","6","2","49","30","3.7844833629205823","3.626239098608494","6","3.7844833629205823"
"Lukas Nmecha","Leeds","F S","1076","31","6","1","30","11","8.14029767177999","1.684540869668126","4","5.856791136786342"
"Wilson Isidor","Sunderland","F S","1142","32","6","0","43","0","5.619414385408163","0","6","5.619414385408163"
"Leandro Trossard","Arsenal","F M S","2026","31","6","6","53","36","6.75317111518234","4.988008487969637","6","6.75317111518234"
"Anthony Gordon","Newcastle United","F M S","1888","26","6","2","48","26","8.756197515875101","3.714877739548683","3","6.472690913826227"
"Iliman Ndiaye","Everton","M","2805","32","6","3","43","30","6.143797228112817","4.4570258148014545","4","4.6214595306664705"
"Dominik Szoboszlai","Liverpool","D F M","3236","36","6","7","70","78","4.724170769564807","8.835168853402138","6","3.963001917116344"
"Valentín Castellanos","West Ham","F S","1430","18","6","0","50","12","7.11984671279788","0.747508816421032","6","7.11984671279788"
"Evanilson","Bournemouth","F S","2810","36","6","1","72","30","11.830083925276995","3.069119781255722","6","11.830083925276995"
"Igor Jesus","Nottingham Forest","F M S","2379","37","6","4","70","15","7.199080093763769","2.280350387096405","5","6.437911256216466"
"Pedro Neto","Chelsea","F M S","2667","34","5","6","46","53","5.149658527225256","7.933838244527578","5","5.149658527225256"
"Martín Zubimendi","Arsenal","D M S","3040","38","5","1","27","19","2.944296659901738","1.087823610752821","5","2.944296659901738"
"John McGinn","Aston Villa","M S","2221","30","5","4","28","39","2.999398436397314","4.862495846115053","5","2.999398436397314"
"Tomas Soucek","West Ham","M S","2206","35","5","0","25","11","5.214208725839853","0.8217995762825012","5","5.214208725839853"
"Florian Wirtz","Liverpool","F M S","2426","33","5","3","51","60","7.576831823214889","5.384264823049307","5","7.576831823214889"
"Enzo Le Fée","Sunderland","F M S","2953","36","5","6","36","53","5.268677884712815","7.54641820769757","2","2.224039314314723"
"Jéremy Doku","Manchester City","F M S","1783","30","5","5","39","59","3.9999447921290994","7.553412737324834","5","3.9999447921290994"
