player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Kylian Mbappe-Lottin","Real Madrid","F S","2623","31","25","5","146","65","25.796528611332178","7.240631651133299","17","19.107029650360346"
"Vedat Muriqi","Mallorca","F S","3150","37","23","1","114","24","21.630785251036286","2.4853103263303638","18","16.427841836586595"
"Ante Budimir","Osasuna","F S","2995","37","17","0","103","16","19.191765047609806","1.7123363316059113","11","13.24554404988885"
"Ferrán Torres","Barcelona","F M S","2025","33","16","2","69","23","16.183371974155307","3.157755734398961","16","16.183371974155307"
"Vinícius Júnior","Real Madrid","F M S","2865","36","16","5","100","69","14.403762575238943","7.155190063640475","12","10.687374416738749"
"Lamine Yamal","Barcelona","F M S","2291","28","16","11","117","73","14.664689928293228","12.566995456814766","13","11.691579438745975"
"Mikel Oyarzabal","Real Sociedad","F S","2727","34","15","4","79","42","16.028234442695975","5.957455115392804","8","10.825419073924422"
"Robert Lewandowski","Barcelona","F S","1630","31","14","2","63","13","16.066804450005293","2.2795287035405636","13","13.836971666663885"
"Borja Iglesias","Celta Vigo","F S","1903","35","14","2","46","17","11.60863982141018","1.6599800884723663","10","8.635529387742281"
"Antonio Martínez","Alaves","F S","2750","37","14","3","93","24","12.836471602320671","3.8200031016021967","13","12.09319394826889"
"Alexander Sørloth","Atletico Madrid","F S","1955","35","13","0","68","10","13.927608631551266","1.2237359210848808","13","13.927608631551266"
"Raphinha","Barcelona","F M S","1424","22","13","3","65","40","11.12714341841638","5.906838221475482","10","8.897310553118587"
"Georges Mikautadze","Villarreal","F S","2155","33","13","6","66","29","15.062094315886497","4.149701787158847","13","15.062094315886497"
"Lucas Boyé","Alaves","F M S","1960","29","11","1","63","28","11.103807976469398","2.709607819095254","8","8.873975029215217"
"Juan Camilo Hernández","Real Betis","F S","2623","32","11","3","89","34","12.400350131094456","4.870423881337047","10","11.657072521746159"
"Carlos Espí","Levante","F S","1328","25","11","0","57","9","9.884630508720875","0.6899255998432636","11","9.884630508720875"
"Gerard Moreno","Villarreal","F S","1368","22","10","0","39","23","7.015236139297485","3.00478845089674","7","4.78540326654911"
"André Silva","Elche","F S","1858","31","10","0","57","22","10.836609966121614","1.556909404695034","7","8.606777063570917"
"Hugo Duro","Valencia","F S","1979","36","10","0","36","17","10.062427267432213","1.7364629544317722","9","8.575872018933296"
"Gorka Guruzeta","Athletic Club","F M S","2401","35","10","3","84","26","11.726107958704233","3.5015047043561935","9","10.982830349355936"
"Jorge De Frutos","Rayo Vallecano","F M S","2526","36","10","1","63","31","12.133321626111865","3.344836812466383","9","11.390043957158923"
"Abdessamad Ezzalzouli","Real Betis","F M S","2275","29","10","8","73","32","10.301263853907585","6.2180118300020695","10","10.301263853907585"
"Akor Adams","Sevilla","F S","2048","32","10","3","61","13","10.047341846860945","1.1498911064118147","7","7.8175089890137315"
"Alberto Moleiro","Villarreal","F M S","2535","38","10","5","46","38","5.6144147682935","5.77781119197607","10","5.6144147682935"
