player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Esteban Lepaul","Angers,Rennes","F S","2761","34","21","5","87","23","15.734724316745996","3.3852440919727087","18","12.694475065916777"
"Mason Greenwood","Marseille","F M S","2503","32","16","7","116","56","14.337145529687405","7.642338250763714","10","8.256384439766407"
"Joaquín Panichelli","Strasbourg","F M S","2202","27","16","1","58","21","14.715991329401731","2.9524750281125307","11","10.155420538038015"
"Folarin Balogun","Monaco","F S","2281","30","13","4","77","24","14.093828184530139","4.190360508859158","10","11.813542751595378"
"Odsonne Edouard","Lens","F S","1879","29","12","3","60","20","13.342069167643785","2.0989868957549334","11","12.581974048167467"
"Wesley Said","Lens","M S","2061","29","12","2","60","27","12.056348741054535","5.918922264128923","11","11.296253591775894"
"Lassine Sinayoko","Auxerre","F M","2811","32","12","4","93","40","13.613020814955235","4.946237799711525","9","10.57264032587409"
"Florian Thauvin","Lens","M S","2510","33","11","6","74","80","12.10416847653687","9.864261759445071","9","9.82388306595385"
"Corentin Tolisso","Lyon","F M S","2319","30","11","4","54","33","10.556918144226074","4.521071578375995","9","8.27663278579712"
"Anssumane Fati","Monaco","F M S","1058","25","11","0","43","15","11.288535937666893","1.9022937566041946","8","8.248155388981104"
"Bradley Barcola","Paris Saint Germain","F S","1778","29","11","1","66","38","11.655976854264736","4.783318970352411","11","11.655976854264736"
"Pierre-Emerick Aubameyang","Marseille","F M S","2074","30","10","5","60","27","15.525875067338347","5.136944656725973","10","15.525875067338347"
"Ousmane Dembélé","Paris Saint Germain","F S","1050","22","10","7","45","41","6.604901619255543","5.207486420869827","8","4.324616186320782"
"Ahmadou Bamba Dieng","Lorient","F S","1239","22","10","1","45","11","9.474379494786263","1.150337222032249","9","7.954189226031303"
"Pablo Pagis","Lorient","F M S","1799","28","10","5","59","43","7.786515640094876","4.751152578741312","8","6.266325371339917"
"Martial Godo","Strasbourg","M S","1602","28","10","1","41","22","8.613017499446869","2.2593456469476223","10","8.613017499446869"
"Pavel Sulc","Lyon","F M S","1562","27","10","3","44","22","8.200931411236525","3.4493092335760593","10","8.200931411236525"
"Romain Del Castillo","Brest","F M","2686","32","9","3","34","55","8.386032570153475","6.569920150563121","3","2.3052715435624123"
"Breel Embolo","Rennes","F S","1870","31","9","3","41","15","9.035452591255307","1.4657922452315688","9","9.035452591255307"
"Ilan Kebbal","Paris FC","F M S","2247","29","9","4","50","60","6.201891345903277","5.013933707028627","6","3.1615764759480953"
"Gauthier Hein","Metz","F M S","2355","29","8","7","44","58","7.256195746362209","4.457953127101064","3","3.4557200483977795"
"Amine Gouiri","Marseille","F M S","1318","22","8","3","38","33","7.237069595605135","3.988559890538454","8","7.237069595605135"
"Sofiane Diop","Nice","F M S","2191","33","8","2","54","36","8.183862524107099","3.579524790868163","6","6.663672225549817"
"Yann Gboho","Toulouse","F M S","2619","31","8","4","57","57","5.629588656127453","4.1475674994289875","8","5.629588656127453"
"Ludovic Ajorque","Brest","F","2834","32","8","9","55","41","9.856391444802284","3.8175468407571316","8","9.856391444802284"
"Khvicha Kvaratskhelia","Paris Saint Germain","F S","1477","28","8","4","65","34","7.978250507265329","5.74300504103303","7","7.218155387789011"
"Hákon Haraldsson","Lille","F M S","2517","32","8","2","50","53","8.196693381294608","4.53067035600543","8","8.196693381294608"
"Issa Soumaré","Le Havre","F M S","2942","34","8","5","77","29","14.245313878171146","4.380414232611656","7","11.965028430335224"
"Matias Fernandez-Pardo","Lille","F M S","2408","29","8","5","68","36","11.11183587089181","4.855040938593447","6","9.591645512729883"
"Olivier Giroud","Lille","F S","1610","30","7","1","41","18","8.869264025241137","1.8515658974647522","4","5.828883409500122"
"Désiré Doué","Paris Saint Germain","F M S","1372","23","7","4","55","29","8.188008099794388","3.8526204489171505","7","7.427912965416908"
"Sebastian Nanasi","Strasbourg","M S","1039","19","7","2","19","17","4.77130252122879","2.442550702020526","7","4.77130252122879"
"Emersonn","Toulouse","F S","1517","27","7","2","51","19","7.415036683902144","1.8788170740008354","7","7.415036683902144"
"Matthis Abline","Nantes","F M S","2501","32","6","4","85","30","8.401815695688128","4.085846895352006","6","7.641720516607165"
"Maghnes Akliouche","Monaco","F M S","2430","31","6","6","48","44","6.614660864695907","5.355240166187286","6","6.614660864695907"
"Gonçalo Ramos","Paris Saint Germain","F S","1293","30","6","1","58","17","9.366714945062995","1.5339764999225736","5","7.846524586901069"
"Mousa Al Tamari","Rennes","D F M S","2265","33","6","6","64","34","4.307022389955819","4.362868030555546","6","4.307022389955819"
"Igor Paixão","Marseille","D M S","1979","30","6","5","57","29","5.585691841319203","2.5239504259079695","6","5.585691841319203"
"Aleksandr Golovin","Monaco","M S","1695","25","5","5","34","24","4.700230384245515","2.307285126298666","5","4.700230384245515"
"Ludovic Blas","Rennes","D F M S","1521","32","5","4","47","48","4.744255687110126","6.979083426296711","3","3.224065418355167"
"Willem Geubbels","Paris FC","F S","1013","24","5","0","30","7","5.863018184900284","0.5414527244865894","4","5.102923050522804"
"Eric Junior Dina Ebimbe","Brest","D F M S","1161","27","5","0","27","8","4.377322880551219","1.1943688429892063","5","4.377322880551219"
"Sepe Elye Wahi","Nice","F S","937","14","5","1","23","8","4.234686259180307","0.7982091940939426","4","3.4745911099016666"
"Kamory Doumbia","Brest","F M S","1805","24","5","4","43","27","4.997975110076368","4.44614515081048","5","4.997975110076368"
"Frank Magri","Toulouse","F M S","1297","17","5","1","33","14","4.1963038221001625","0.8383028265088797","5","3.436208687722683"
"Remy Labeau Lascary","Brest","F M S","1177","27","5","1","34","13","5.339445449411869","2.657169260084629","5","5.339445449411869"
"Aiyegun Tosin","Lorient","F M S","1068","27","5","0","30","11","6.6367923226207495","1.0361506454646587","5","5.876697203144431"
"João Neves","Paris Saint Germain","M S","1280","21","5","1","27","14","3.1606192514300346","2.4752913154661655","5","3.1606192514300346"
"Endrick","Lyon","F M S","1248","16","5","7","49","30","6.475340409204364","4.547948397696018","4","5.7152452897280455"
"Rayan Fofana","Lens","F M S","759","25","5","0","36","5","6.3153184382244945","0.33658943697810173","5","6.3153184382244945"
"Prosper Peter","Angers","F S","1257","29","5","0","23","11","6.074337815865874","0.8983762171119452","5","6.074337815865874"
"Alimami Gory","Paris FC","D F M S","959","24","5","1","19","5","3.891201537102461","0.6714342199265957","5","3.891201537102461"
"Hamza Igamane","Lille","F S","406","13","5","1","24","4","3.7606138456612825","0.6632731482386589","5","3.7606138456612825"
"Pierre-Emile Højbjerg","Marseille","M S","2716","32","4","5","46","40","3.9165602140128613","4.429353263229132","4","3.9165602140128613"
"Jean-Victor Makengo","Lorient","F M S","1842","31","4","2","39","26","3.3909959215670824","1.9122456898912787","4","3.3909959215670824"
"Habib Diallo","Metz","F S","1908","25","4","1","38","12","5.928135938942432","0.7432543095201254","4","5.168040789663792"
"Marshall Munetsi","Paris FC","F M S","985","15","4","1","19","7","4.142309173941612","0.841992974281311","4","4.142309173941612"
"Mohamed Ali-Cho","Nice","F M S","1717","24","4","3","32","23","4.278947148472071","3.5190721238031983","4","4.278947148472071"
"Felix Correia","Lille","M S","2124","34","4","5","37","39","5.806952535174787","5.867727227509022","4","5.806952535174787"
"Nuno Mendes","Paris Saint Germain","D F S","1251","20","4","5","30","29","3.810142569243908","5.055273981764913","3","3.0500474497675896"
"Sambou Soumano","Lorient","F S","891","31","4","2","28","10","6.807313602417707","1.8067509941756725","4","6.047218482941389"
"Mostafa Mohamed","Nantes","F S","1152","24","4","0","34","9","3.018826650455594","1.1388814579695463","4","3.018826650455594"
"Rassoul Ndiaye","Le Havre","F M S","2600","33","4","4","34","29","3.080671327188611","2.7814114429056644","4","3.080671327188611"
"Emanuel Emegha","Strasbourg","F S","427","10","4","2","17","3","4.252192250452936","1.2648815028369427","4","4.252192250452936"
"Diego Moreira","Strasbourg","D M S","2063","27","4","7","29","37","2.222741227596998","6.940216278657317","4","2.222741227596998"
"Roman Yaremchuk","Lyon","F S","566","11","4","1","16","6","3.279270388185978","0.6049698125571012","4","3.279270388185978"
"Aron Dønnum","Toulouse","D F M","2438","28","4","4","40","63","4.60387984290719","6.289067713543773","1","2.323594458401203"
"Senny Mayulu","Paris Saint Germain","D F M S","1704","26","4","4","35","39","4.818055000156164","4.020334480330348","4","4.818055000156164"
"Sidiki Chérif","Angers","F M S","1187","19","4","0","28","5","2.8283863738179207","0.6020375601947308","4","2.8283863738179207"
"Robinio Vaz","Marseille","F S","346","14","4","2","8","6","2.7465014457702637","0.9652759805321693","4","2.7465014457702637"
"Afonso Moreira","Lyon","D F M S","1695","27","4","7","40","32","3.1612205244600773","5.9273083889856935","4","3.1612205244600773"
"Santiago Hidalgo","Toulouse","F M S","1297","28","4","6","33","13","3.9984716661274433","2.7228170400485396","4","3.9984716661274433"
"Allan Saint-Maximin","Lens","M S","380","10","3","3","21","19","1.4870970454066992","2.0143274627625942","3","1.4870970454066992"
"Youssef El-Arabi","Nantes","F S","943","25","3","0","15","9","4.204976715147495","0.5688040424138308","3","3.444881595671177"
"Djibril Sidibe","Toulouse","D S","2169","32","3","4","8","15","3.01466503739357","1.9726380528882146","2","1.4944747984409332"
"Adrien Thomasson","Lens","M S","2714","32","3","9","43","80","6.460448982194066","8.477983359247446","3","6.460448982194066"
"Angel Gomes","Marseille","M S","919","14","3","0","11","18","2.0597879961133003","1.0676721185445786","3","2.0597879961133003"
"Jonathan Ikone","Paris FC","F M S","1107","23","3","1","25","14","3.6328962482511997","2.535602707415819","3","3.6328962482511997"
"Ignatius Ganago","Nantes","F M S","844","13","3","1","23","6","3.503245037049055","0.7495720982551575","2","2.7431498877704144"
"Mahdi Camara","Rennes","D M S","2670","32","3","1","29","23","2.641194898635149","2.1875408850610256","3","2.641194898635149"
"Romain Perraud","Lille","D S","2262","30","3","4","33","37","1.604667505249381","4.023106466047466","3","1.604667505249381"
"Moses Simon","Paris FC","F M S","2062","29","3","3","34","33","2.882196793332696","4.325151562690735","3","2.882196793332696"
"Lee Kang-In","Paris Saint Germain","F M S","1527","27","3","4","37","58","3.1583685893565416","6.6062276884913445","3","3.1583685893565416"
"Fabien Centonze","Nantes","D M S","738","15","3","0","8","4","0.9628630634397268","0.14629066362977028","3","0.9628630634397268"
"Takumi Minamino","Monaco","F M S","976","15","3","2","21","9","3.3724637255072594","2.100285714492202","3","3.3724637255072594"
"Fodé Doucouré","Le Havre","F M S","1271","26","3","1","20","18","2.5847209552302957","2.5097016375511885","3","2.5847209552302957"
"Sékou Mara","Auxerre","F S","1231","27","3","2","33","9","3.05426874384284","1.0970151722431183","3","3.05426874384284"
"Charlie Cresswell","Toulouse","D S","2537","29","3","2","38","11","4.463126664981246","1.1976852640509605","3","4.463126664981246"
"Luca Koleosho","Paris FC","M S","517","16","3","1","17","8","2.7315033990889788","1.6554799880832434","3","2.7315033990889788"
"Warren Zaïre-Emery","Paris Saint Germain","D M S","2460","32","3","4","19","42","2.0695376126095653","4.2776061883196235","3","2.0695376126095653"
"Kévin Danois","Auxerre","M S","2852","33","3","1","25","52","2.123984556645155","4.617172429338098","3","2.123984556645155"
"Julio Enciso","Strasbourg","F M S","1918","27","3","6","61","26","7.675233259797096","4.41795701906085","2","6.915138140320778"
"Pierre Ganiou","Lens","D S","2018","23","3","0","23","9","2.1561120813712478","0.5016434397548437","3","2.1561120813712478"
