player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Jhon Córdoba","FC Krasnodar","F","2491","28","17","6","85","33","14.37795857153833","4.215427748858929","17","14.37795857153833"
"Eduard Spertsyan","FC Krasnodar","M","2579","30","13","15","64","90","9.313602260313928","9.322885636240244","8","4.787950462661684"
"Alexey Batrakov","Lokomotiv Moscow","F M","2500","28","13","9","73","76","8.347260641399771","6.848970768041909","11","6.838711547199637"
"Brayan Gil","Baltika","F S","1622","24","13","1","43","14","10.310380594804883","1.8909670896828175","9","7.293279364705086"
"Alexander Sobolev","Zenit St. Petersburg","F S","1670","28","10","2","57","23","9.777477709576488","2.463461966253817","7","6.760376466438174"
"Dmitry Vorobyev","Lokomotiv Moscow","F S","1891","26","10","4","61","27","9.195771576836705","2.852150410413742","9","8.4414963144809"
"Mirlind Daku","Rubin Kazan","F S","2073","24","10","0","51","21","7.3454787619411945","1.7905207015573978","8","5.082652918994427"
"Maksim Glushenkov","Zenit St. Petersburg","F M S","2012","27","9","9","64","50","5.647645743563771","6.259487181901932","9","5.647645743563771"
"Konstantin Tyukavin","Dinamo Moscow","F S","1460","22","9","4","51","21","6.656475726515055","1.91993388812989","9","6.656475726515055"
"Ivan Sergeev","Dinamo Moscow","F M S","1617","29","9","2","38","10","10.194852985441685","1.5754907727241516","9","10.194852985441685"
"Egas Cacintura","FK Akhmat","F M","2381","28","9","4","38","29","5.927318952977657","2.143912859261036","8","5.173043631017208"
"Artem Dzyuba","Akron","F S","2223","26","8","5","35","44","6.995512913912535","4.5801069075241685","5","3.224136268720031"
"Juan Manuel Boselli","FC Krasnodar,Nizhny Novgorod","F M S","1646","28","8","2","59","21","6.371920242905617","2.5635454393923283","6","4.863369658589363"
"Esequiel Barco","Spartak Moscow","F M","2526","29","8","7","54","69","8.464938083663583","6.3373609399423","2","3.185011001303792"
"Pablo Solari","Spartak Moscow","F M S","1858","28","8","1","53","34","6.15312054939568","3.8430127073079348","8","6.15312054939568"
"George Melkadze","FK Akhmat","F S","2068","28","7","1","52","29","6.698467701673508","2.6955451415851712","7","5.944192439317703"
"Gamid Agalarov","Dynamo Makhachkala","F S","1769","29","7","1","38","19","9.159968566149473","2.7661394085735083","4","6.142868768423796"
"Aleksandr Rudenko","Lokomotiv Moscow","F M","2108","28","7","2","42","22","5.085234141908586","2.8897332940250635","7","5.085234141908586"
"Maksim Petrov","Baltika","F M S","2107","26","7","3","41","31","4.412127433344722","2.0617972631007433","5","2.903576796874404"
"Nikita Krivtsov","FC Krasnodar","F M S","1470","29","7","1","30","19","4.009527495130897","1.6376440301537514","7","4.009527495130897"
"Vadim Rakov","Krylya Sovetov Samara","F S","659","11","7","3","18","14","2.04502334818244","1.6403460465371609","6","1.2907573468983173"
"Bitelo","Dinamo Moscow","F M","2345","27","7","8","55","69","3.4450936894863844","5.557479431852698","7","3.4450936894863844"
"Ivan Oblyakov","CSKA Moscow","M","2562","29","6","5","53","66","6.555030765943229","4.711090624332428","0","2.0293788639828563"
"Daniil Krugovoy","CSKA Moscow","D F M","2523","30","6","7","48","34","4.815875571221113","5.26412903284654","6","4.815875571221113"
"Andrey Mostovoy","Zenit St. Petersburg","F M S","693","22","6","1","23","9","6.668910138309002","0.8791266712360084","2","2.897533554583788"
"Luiz Henrique","Zenit St. Petersburg","F M S","2068","28","6","3","50","26","5.428130521439016","3.007914406247437","6","4.673855259083211"
"Ronaldo","FC Rostov","D F M S","2050","26","6","1","27","14","3.7454284662380815","1.3087165709584951","6","3.7454284662380815"
"Gilson Benchimol","Akron","F M S","1048","20","6","0","38","6","5.323247324675322","0.3696596175432205","3","3.060421336442232"
"Nikolay Komlichenko","Lokomotiv Moscow","F S","1056","26","5","4","33","17","6.5688497088849545","2.0163810164667666","3","4.306023824959993"
