player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Kevin Viveros","Athletico","1520","11","1","47","28","10","7","10.12","0.29"
"Pedro","Flamengo","1348","10","4","33","19","17","21","7.1","1.62"
"John Kennedy","Fluminense","1094","9","1","38","26","12","25","6.58","0.62"
"Jonathan Calleri","São Paulo","1351","6","1","38","14","16","2","6.31","1.2"
"Carlos Vinícius","Grêmio","1389","9","0","34","19","2","2","5.9","0.14"
"Rafael Borré","Internacional","1058","2","1","28","12","13","7","5.62","1.1"
"Isidro Pitta","Red Bull Bragantino","1144","5","2","37","11","15","3","5.42","0.57"
"Willian José","Bahia","906","3","1","20","8","17","5","5.35","0.87"
"Kaio Jorge","Cruzeiro","914","4","0","25","8","12","4","5.02","0.56"
"Breno Lopes","Coritiba","979","8","1","17","12","17","8","4.97","1.11"
"Luciano","São Paulo","982","6","1","28","11","18","2","4.85","1.44"
"Alerrandro","Internacional","806","3","3","24","9","6","2","4.76","1.03"
"Gabriel Barbosa","Santos","817","7","2","29","7","11","3","4.74","0.85"
"Lucas Barbosa","Red Bull Bragantino","1436","4","2","44","17","23","14","4.68","2.93"
"Giorgian de Arrascaeta","Flamengo","747","3","1","26","9","23","4","4.66","2.09"
"Pedro Rocha","Coritiba","1425","4","1","34","13","8","17","4.16","0.65"
"Néiser Villarreal","Cruzeiro","553","3","1","20","8","8","0","3.95","0.31"
"Alef Manga","Remo","1340","4","3","35","12","18","13","3.95","1.58"
"Yuri Alberto","Corinthians","1215","1","2","29","13","16","11","3.77","0.82"
"Claudio Spinelli","Vasco da Gama","495","1","0","27","9","2","0","3.68","0.14"
"Matheus Pereira","Cruzeiro","1405","3","2","41","12","53","10","3.61","3.49"
"Tomás Cuello","Atlético Mineiro","1212","2","1","38","9","19","25","3.57","2.05"
"Yannick Bolasie","Chapecoense","939","1","1","24","7","9","5","3.46","0.64"
"Eduardo Sasha","Red Bull Bragantino","756","0","0","17","6","11","3","3.38","0.45"
"Arthur Cabral","Botafogo","1218","7","1","31","16","11","8","3.37","1.07"
"Nathan Fogaça","Mirassol","349","2","0","17","9","3","2","3.36","0.46"
"Johan Carbonero","Internacional","1141","4","3","37","12","16","20","3.32","1.76"
"Luciano Juba","Bahia","1320","7","1","21","12","29","3","3.26","1.39"
"Brenner","Vasco da Gama","553","1","1","17","6","13","1","3.19","0.24"
"Jajá","Remo","900","4","1","24","11","9","11","2.94","0.29"
"Jefferson Savarino","Fluminense","1028","3","2","36","14","27","14","2.94","2.36"
"Alan Patrick","Internacional","966","3","0","19","6","35","10","2.93","2.41"
"Kevin Serna","Fluminense","996","1","1","21","6","7","16","2.91","0.98"
"Artur","São Paulo","1072","2","1","26","14","19","13","2.88","1.55"
"José Manuel López","Palmeiras","1312","6","3","35","14","22","21","2.82","1.77"
"Walter Clar","Chapecoense","765","3","1","10","6","10","5","2.78","0.29"
"Andrés Gómez","Vasco da Gama","1322","3","1","58","17","25","39","2.77","3.67"
"Neymar","Santos","686","4","2","21","7","17","8","2.71","1.31"
"Renê Sousa","Vitória","684","5","1","24","14","3","12","2.68","0.08"
"Renato Kayzer","Vitória","644","3","1","15","6","9","8","2.63","0.47"
"Gonzalo Plata","Flamengo","568","2","2","22","12","10","14","2.62","1.03"
"Puma Rodríguez","Vasco da Gama","860","2","4","23","8","20","4","2.61","2.22"
"Alesson","Mirassol","1141","0","4","28","14","16","18","2.61","1.66"
"Henry Mosquera","Red Bull Bragantino","1072","0","3","33","9","32","59","2.56","3.13"
"Félix Torres","Internacional","948","1","0","9","2","4","3","2.52","0.39"
"Reinier","Atlético Mineiro","630","1","1","17","9","15","8","2.51","0.63"
"Mateo Cassierra","Atlético Mineiro","692","2","1","15","5","9","1","2.5","1.11"
"Vitinho","Internacional","1199","0","3","30","10","17","11","2.44","2.3"
"Mauricio","Palmeiras","943","1","1","22","7","10","4","2.42","0.41"
"Luciano Acosta","Fluminense","910","3","4","22","7","32","25","2.38","3.23"
"Gabriel Taliari","Remo","439","3","0","13","6","1","0","2.37","0.13"
"Julimar","Athletico","727","3","1","15","6","10","3","2.34","1.17"
"Luiz Gustavo","Athletico","996","2","0","16","7","6","7","2.31","0.48"
"Benjamín Rollheiser","Santos","454","3","0","13","7","18","10","2.31","1.81"
"Agustín Canobbio","Fluminense","863","4","1","19","9","14","14","2.28","1.24"
"David","Vasco da Gama","764","2","1","13","7","11","9","2.19","0.39"
"Christian","Cruzeiro","1257","5","3","21","8","14","7","2.12","1.31"
"Matheuzinho","Vitória","1042","2","1","22","10","12","14","2.08","1.36"
"Matheus Martins","Botafogo","820","4","0","25","14","7","14","2.05","0.44"
