team,player,player_id,position,competition,season,games,possible_games,goals,assists,minutes,start11_pct,yellow,red,clean_sheets,conceded,minutes_pct,second_yellow,gc_pct,gc_pct_nopen
Algeria,Luca Zidane,283489,Goalkeeper,LaLiga2,25/26,26,42,0,0,2340,61.904761904761905,0,0,8,33,61.904761904761905,0,0.0,0.0
Algeria,Luca Zidane,283489,Goalkeeper,Copa del Rey,25/26,1,3,0,0,90,33.33333333333333,0,0,1,0,33.33333333333333,0,0.0,0.0
Algeria,Oussama Benbout,437982,Goalkeeper,Ligue 1,25/26,14,30,0,0,1260,46.666666666666664,1,0,5,10,46.666666666666664,0,0.0,0.0
Algeria,Oussama Benbout,437982,Goalkeeper,CAF Confederation Cup,25/26,13,14,0,0,1170,92.85714285714286,1,0,8,7,92.85714285714286,0,0.0,0.0
Algeria,Oussama Benbout,437982,Goalkeeper,Supercoupe d'Algérie,25/26,1,1,0,0,90,100.0,0,0,0,1,100.0,0,0.0,0.0
Algeria,Oussama Benbout,437982,Goalkeeper,Coupe d'Algerie,25/26,4,6,0,0,390,66.66666666666666,0,0,2,2,61.904761904761905,0,0.0,0.0
Algeria,Melvin Mastil,534398,Goalkeeper,Challenge League,25/26,32,36,0,0,2880,88.88888888888889,0,0,6,50,88.88888888888889,0,0.0,0.0
Algeria,Melvin Mastil,534398,Goalkeeper,Swiss Cup,25/26,2,3,0,0,240,66.66666666666666,0,0,0,2,72.72727272727273,0,0.0,0.0
Algeria,Ramy Bensebaini,284732,Centre-Back,Bundesliga,25/26,21,34,5,2,1528,44.11764705882353,6,0,0,0,49.93464052287582,0,10.0,14.285714285714285
Algeria,Ramy Bensebaini,284732,Centre-Back,UEFA Champions League,25/26,9,10,2,0,774,90.0,2,0,0,0,86.0,1,9.090909090909092,9.090909090909092
Algeria,Ramy Bensebaini,284732,Centre-Back,DFB-Pokal,25/26,2,3,0,1,94,33.33333333333333,0,0,0,0,31.333333333333336,0,16.666666666666664,100.0
Algeria,Samir Chergui,668167,Centre-Back,Ligue 1,25/26,15,34,1,0,1155,38.23529411764706,1,0,0,0,37.745098039215684,0,2.127659574468085,3.3333333333333335
Algeria,Zineddine Belaid,625142,Centre-Back,Ligue 1,25/26,22,30,1,0,1967,73.33333333333333,3,0,0,0,72.85185185185186,0,2.5,3.225806451612903
Algeria,Zineddine Belaid,625142,Centre-Back,CAF-Champions League,25/26,10,10,0,0,855,100.0,0,0,0,0,95.0,0,0.0,0.0
Algeria,Zineddine Belaid,625142,Centre-Back,Coupe d'Algerie,25/26,1,2,0,0,90,50.0,0,0,0,0,50.0,0,0.0,0.0
Algeria,Mohamed Amine Tougai,592396,Centre-Back,Ligue 1,25/26,15,30,2,0,1229,50.0,3,0,0,0,45.51851851851852,0,4.444444444444445,8.695652173913043
Algeria,Mohamed Amine Tougai,592396,Centre-Back,CAF-Champions League,25/26,7,14,2,0,630,50.0,1,0,0,0,50.0,0,9.523809523809524,15.384615384615385
Algeria,Aïssa Mandi,80293,Centre-Back,Ligue 1,25/26,29,34,1,0,2427,82.35294117647058,8,0,0,0,79.31372549019608,0,1.9230769230769231,2.083333333333333
Algeria,Aïssa Mandi,80293,Centre-Back,Europa League,25/26,11,12,0,0,851,66.66666666666666,2,0,0,0,76.66666666666667,0,0.0,0.0
Algeria,Achref Abada,949929,Centre-Back,Ligue 1,25/26,21,32,0,0,1708,59.375,2,0,0,0,59.30555555555556,0,0.0,0.0
Algeria,Achref Abada,949929,Centre-Back,Coupe d'Algerie,25/26,3,3,0,0,193,66.66666666666666,0,0,0,0,64.33333333333333,0,0.0,0.0
Algeria,Rayan Aït-Nouri,578391,Left-Back,Premier League,25/26,17,38,0,2,976,31.57894736842105,2,0,0,0,28.538011695906434,0,2.5974025974025974,3.508771929824561
Algeria,Rayan Aït-Nouri,578391,Left-Back,UEFA Champions League,25/26,6,10,0,0,339,40.0,1,0,0,0,37.666666666666664,0,0.0,0.0
Algeria,Rayan Aït-Nouri,578391,Left-Back,FA Cup,25/26,2,6,0,1,135,33.33333333333333,0,0,0,0,25.0,0,4.545454545454546,9.090909090909092
Algeria,Rayan Aït-Nouri,578391,Left-Back,EFL Cup,25/26,3,6,0,2,155,33.33333333333333,1,0,0,0,28.703703703703702,0,14.285714285714285,20.0
Algeria,Jaouen Hadjam,750903,Left-Back,Super League,25/26,20,38,2,4,1237,36.84210526315789,4,0,0,0,36.16959064327485,0,7.5,12.244897959183673
Algeria,Jaouen Hadjam,750903,Left-Back,Europa League,25/26,6,8,0,0,540,75.0,2,0,0,0,75.0,0,0.0,0.0
Algeria,Jaouen Hadjam,750903,Left-Back,Europa League Qualifying,25/26,2,2,0,0,180,100.0,2,0,0,0,100.0,0,0.0,0.0
Algeria,Jaouen Hadjam,750903,Left-Back,Swiss Cup,25/26,2,2,0,0,135,100.0,1,0,0,0,75.0,0,0.0,0.0
Algeria,Rafik Belghali,864306,Right-Back,Serie A,25/26,26,38,2,0,1928,57.89473684210527,6,0,0,0,56.37426900584796,0,8.0,10.526315789473683
Algeria,Rafik Belghali,864306,Right-Back,Italy Cup,25/26,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0
Algeria,Rafik Belghali,864306,Right-Back,Jupiler Pro League,25/26,3,4,0,0,240,75.0,1,0,0,0,66.66666666666666,0,0.0,0.0
Algeria,Ramiz Zerrouki,416660,Defensive Midfield,Eredivisie,25/26,32,34,3,2,2667,94.11764705882352,2,1,0,0,87.15686274509804,0,8.47457627118644,8.771929824561402
Algeria,Ramiz Zerrouki,416660,Defensive Midfield,KNVB Beker,25/26,3,4,0,3,269,75.0,1,0,0,0,68.97435897435898,0,23.076923076923077,42.857142857142854
Algeria,Nabil Bentaleb,245537,Defensive Midfield,Ligue 1,25/26,26,34,2,2,1278,38.23529411764706,3,0,0,0,41.76470588235294,0,7.6923076923076925,8.51063829787234
Algeria,Nabil Bentaleb,245537,Defensive Midfield,Europa League,25/26,9,12,0,0,548,58.333333333333336,0,0,0,0,49.36936936936937,0,0.0,0.0
Algeria,Nabil Bentaleb,245537,Defensive Midfield,Coupe de France,25/26,2,2,0,0,180,100.0,0,0,0,0,100.0,0,0.0,0.0
Algeria,Hicham Boudaoui,560593,Central Midfield,Ligue 1,25/26,25,34,1,2,1695,52.94117647058824,5,0,0,0,55.392156862745104,0,8.108108108108109,10.714285714285714
Algeria,Hicham Boudaoui,560593,Central Midfield,Europa League,25/26,3,8,0,0,105,12.5,0,0,0,0,14.583333333333334,0,0.0,0.0
Algeria,Hicham Boudaoui,560593,Central Midfield,Champions League Qu.,25/26,1,2,0,0,90,50.0,0,0,0,0,50.0,0,0.0,0.0
Algeria,Hicham Boudaoui,560593,Central Midfield,L1/L2 Playoffs,25/26,1,2,0,0,11,50.0,0,0,0,0,6.111111111111111,0,0.0,0.0
Algeria,Hicham Boudaoui,560593,Central Midfield,Coupe de France,25/26,2,6,0,0,180,33.33333333333333,1,0,0,0,33.33333333333333,0,0.0,0.0
Algeria,Yassine Titraoui,748445,Central Midfield,Jupiler Pro League,25/26,28,30,4,0,2367,90.0,7,0,0,0,87.66666666666667,0,10.526315789473683,11.11111111111111
Algeria,Yassine Titraoui,748445,Central Midfield,UECL Qualifying,25/26,2,2,0,0,210,100.0,1,0,0,0,100.0,0,0.0,0.0
Algeria,Yassine Titraoui,748445,Central Midfield,Croky Cup,25/26,5,5,0,2,429,100.0,0,0,0,0,95.33333333333334,1,33.33333333333333,33.33333333333333
Algeria,Yassine Titraoui,748445,Central Midfield,JPL Europe Play-Offs,25/26,7,10,1,1,537,60.0,0,0,0,0,59.66666666666667,0,16.666666666666664,25.0
Algeria,Ibrahim Maza,905011,Attacking Midfield,Bundesliga,25/26,28,34,3,5,1854,58.82352941176471,2,0,0,0,60.588235294117645,0,11.76470588235294,13.333333333333334
Algeria,Ibrahim Maza,905011,Attacking Midfield,UEFA Champions League,25/26,12,12,0,2,788,75.0,1,0,0,0,72.96296296296296,0,12.5,12.5
Algeria,Ibrahim Maza,905011,Attacking Midfield,DFB-Pokal,25/26,4,5,2,0,302,60.0,0,0,0,0,62.916666666666664,0,16.666666666666664,22.22222222222222
Algeria,Farès Chaïbi,855015,Attacking Midfield,Bundesliga,25/26,28,34,2,9,1797,61.76470588235294,2,0,0,0,58.72549019607843,0,18.0327868852459,21.153846153846153
Algeria,Farès Chaïbi,855015,Attacking Midfield,UEFA Champions League,25/26,8,8,1,1,499,62.5,0,0,0,0,69.30555555555556,0,20.0,20.0
Algeria,Farès Chaïbi,855015,Attacking Midfield,DFB-Pokal,25/26,2,2,0,0,210,100.0,1,0,0,0,100.0,0,0.0,0.0
Algeria,Houssem Aouar,395693,Attacking Midfield,Saudi Pro League,25/26,23,34,8,3,1904,64.70588235294117,3,0,0,0,62.22222222222222,0,20.0,29.72972972972973
Algeria,Houssem Aouar,395693,Attacking Midfield,AFC Champions League,25/26,8,10,6,1,658,80.0,0,0,0,0,70.75268817204301,0,30.434782608695656,31.818181818181817
Algeria,Houssem Aouar,395693,Attacking Midfield,King's Cup,25/26,3,4,1,0,217,50.0,1,0,0,0,55.64102564102564,0,7.6923076923076925,11.11111111111111
Algeria,Houssem Aouar,395693,Attacking Midfield,Saudi Super Cup,25/26,1,1,0,0,82,100.0,0,0,0,0,91.11111111111111,0,0.0,0.0
Algeria,Adil Boulbina,748443,Left Winger,Stars League,25/26,19,22,5,5,1368,72.72727272727273,5,0,0,0,69.0909090909091,0,25.0,28.57142857142857
Algeria,Adil Boulbina,748443,Left Winger,AFC CL Elite Qualif.,25/26,1,1,1,0,79,100.0,0,0,0,0,87.77777777777777,0,33.33333333333333,33.33333333333333
Algeria,Adil Boulbina,748443,Left Winger,AFC Champions League,25/26,8,9,6,1,716,88.88888888888889,0,0,0,0,85.23809523809524,0,43.75,46.666666666666664
Algeria,Adil Boulbina,748443,Left Winger,Amir Cup,25/26,3,3,1,1,141,33.33333333333333,0,0,0,0,52.22222222222223,0,28.57142857142857,28.57142857142857
Algeria,Adil Boulbina,748443,Left Winger,QSL Cup,25/26,1,10,0,0,90,10.0,0,0,0,0,10.0,0,0.0,0.0
Algeria,Anis Hadj Moussa,917911,Right Winger,Eredivisie,25/26,30,34,11,6,2554,88.23529411764706,4,1,0,0,83.46405228758171,0,24.285714285714285,26.153846153846157
Algeria,Anis Hadj Moussa,917911,Right Winger,Europa League,25/26,8,8,2,1,620,87.5,3,0,0,0,86.11111111111111,0,27.27272727272727,27.27272727272727
Algeria,Anis Hadj Moussa,917911,Right Winger,Champions League Qu.,25/26,2,2,1,0,180,100.0,0,0,0,0,100.0,0,25.0,25.0
Algeria,Farès Ghedjemis,888738,Right Winger,Serie B,25/26,37,38,15,3,3024,94.73684210526315,4,0,0,0,88.42105263157895,0,23.684210526315788,23.684210526315788
Algeria,Farès Ghedjemis,888738,Right Winger,Italy Cup,25/26,1,2,0,0,75,50.0,0,0,0,0,41.66666666666667,0,0.0,0.0
Algeria,Riyad Mahrez,171424,Right Winger,Saudi Pro League,25/26,27,34,4,9,2315,79.41176470588235,2,0,0,0,75.65359477124183,0,18.30985915492958,23.636363636363637
