team,player,age,position,appearances,minutes,goals,assists,shots_total,shots_on,penalties
Belgium,T. Courtois,33,Goalkeeper,3,270,0,0,0,0,0
Belgium,L. Dendoncker,30,Defender,2,162,0,0,1,0,0
Belgium,T. Alderweireld,36,Defender,3,270,0,1,0,0,0
Belgium,J. Vertonghen,38,Defender,3,270,0,0,1,0,0
Belgium,T. Castagne,30,Midfielder,3,270,0,0,0,0,0
Belgium,Y. Tielemans,28,Midfielder,3,93,0,0,0,0,0
Belgium,A. Witsel,36,Midfielder,3,270,0,0,0,0,0
Belgium,Y. Carrasco,32,Midfielder,2,117,0,0,1,0,0
Belgium,K. De Bruyne,34,Attacker,3,270,0,0,5,2,0
Belgium,E. Hazard,32,Attacker,3,130,0,0,1,1,0
Belgium,M. Batshuayi,32,Attacker,2,153,1,0,4,2,0
Belgium,S. Mignolet,37,Goalkeeper,0,0,0,0,0,0,0
Belgium,K. Casteels,33,Goalkeeper,0,0,0,0,0,0,0
Belgium,W. Faes,27,Defender,0,0,0,0,0,0,0
Belgium,T. Meunier,34,Defender,3,213,0,0,2,1,0
Belgium,Z. Debast,22,Defender,0,0,0,0,0,0,0
Belgium,A. Theate,25,Defender,0,0,0,0,0,0,0
Belgium,A. Onana,24,Midfielder,2,105,0,0,2,0,0
Belgium,H. Vanaken,33,Midfielder,0,0,0,0,0,0,0
Belgium,T. Hazard,32,Midfielder,2,106,0,0,0,0,0
Belgium,L. Openda,25,Attacker,1,12,0,0,0,0,0
Belgium,C. De Ketelaere,24,Midfielder,1,15,0,0,0,0,0
Belgium,D. Mertens,38,Attacker,2,75,0,0,3,1,0
Belgium,L. Trossard,31,Attacker,3,102,0,0,0,0,0
Belgium,J. Doku,23,Attacker,1,18,0,0,0,0,0
Belgium,R. Lukaku,32,Attacker,2,54,0,0,5,2,0
France,H. Lloris,39,Goalkeeper,6,570,0,0,0,0,0
France,J. Koundé,27,Defender,6,487,0,0,2,2,0
France,R. Varane,31,Defender,6,521,0,0,3,0,0
France,D. Upamecano,27,Midfielder,5,480,0,0,0,0,0
France,T. Hernández,28,Defender,6,508,1,2,5,2,0
France,A. Tchouaméni,25,Midfielder,7,623,1,0,2,2,0
France,A. Rabiot,30,Defender,6,483,1,1,7,4,0
France,O. Dembélé,28,Midfielder,7,438,0,2,3,2,0
France,A. Griezmann,34,Midfielder,7,537,0,3,5,3,0
France,Kylian Mbappé,27,Midfielder,7,597,8,2,21,14,2
France,O. Giroud,39,Attacker,6,423,4,0,15,6,0
France,S. Mandanda,40,Goalkeeper,1,90,0,0,0,0,0
France,A. Areola,32,Goalkeeper,0,0,0,0,0,0,0
France,B. Pavard,29,Defender,1,89,0,0,0,0,0
France,I. Konaté,26,Defender,5,296,0,0,2,1,0
France,W. Saliba,24,Defender,1,27,0,0,0,0,0
France,A. Disasi,27,Defender,3,99,0,0,0,0,0
